symbol,model,date,exit_date,entry,stop,exit,qty,value,cost,exit_reason,hold_days,r_multiple,pnl,pct
TRENT,trend_lowbeta,2024-11-05,2024-11-07,7009.588848448293,6369.858823894806,6369.858823894806,15,105143.83272672439,262.859581816811,stop,2,-1.0,-9858.809950119117,-0.09376498549128222
PPLPHARMA,trend_lowbeta,2024-10-08,2024-11-12,224.8543126419724,200.1522821328591,259.980297036784,420,94438.8113096284,236.09702827407102,stop,25,1.4219877342412248,14516.816417546805,0.1537166363726431
HSCL,trend_lowbeta,2024-10-29,2024-11-14,565.516192305537,492.99546439624146,492.99546439624146,142,80303.29930738625,200.75824826846562,stop,12,-1.0,-10498.701611388424,-0.13073811041313915
GODFRYPHLP,trend_lowbeta,2024-10-22,2024-11-18,2021.5920489958285,1772.5211430914014,1926.6492567864948,42,84906.8660578248,212.267165144562,stop,18,-0.38118780619750475,-4199.864437936576,-0.04946436764108463
AEGISLOG,trend_lowbeta,2024-10-08,2024-12-09,677.214699978716,593.5194894298877,782.2660059049679,123,83297.40809738207,208.24352024345518,stop,42,1.255165083370742,12713.067108685525,0.15262260133980185
NEULANDLAB,trend_lowbeta,2024-10-22,2024-12-16,13662.415129815388,11008.226600461945,14565.440873459222,3,40987.245389446165,102.46811347361542,stop,37,0.3402266770641983,2606.609117457884,0.0635956159700613
GODFRYPHLP,trend_lowbeta,2024-11-21,2024-12-30,1895.6261191368706,1616.116091983458,1616.116091983458,36,68242.54028892734,170.60635072231835,stop,26,-1.0,-10232.967328245168,-0.14994997672889257
TATAINVEST,trend_lowbeta,2024-10-08,2025-01-03,654.4430830880735,591.5513139173962,682.8148803710938,164,107328.66562644405,268.32166406611015,time,60,0.45112099177913234,4384.653090349205,0.04085258178472031
KALYANKJIL,trend_lowbeta,2024-11-05,2025-01-08,644.4767266845703,576.1616675857698,682.1798746591403,149,96027.03227600097,240.06758069000244,stop,43,0.5519009786706316,5377.701467520929,0.056001954242054834
TECHNOE,trend_lowbeta,2024-10-29,2025-01-10,1470.2388432301925,1250.7401710151494,1375.1387540696467,47,69101.22563181905,172.7530640795476,stop,50,-0.4332604302379386,-4642.457254625203,-0.06718342854526
AEGISLOG,trend_lowbeta,2024-12-12,2025-01-10,751.5749151779816,666.555560096322,833.8766732950071,120,90188.98982135778,225.47247455339448,stop,20,0.9680355495284124,9650.73849948967,0.1070057278455542
TRENT,trend_lowbeta,2024-11-12,2025-01-13,6485.665941686824,5798.334558958628,6302.430491917078,14,90799.32318361555,226.99830795903887,stop,41,-0.26658967475402784,-2792.294604735484,-0.03075237244983501
ZENTEC,trend_lowbeta,2024-11-12,2025-01-13,1736.6916811337157,1580.4477993126884,2287.8216456002638,65,112884.95927369152,282.2123981842288,stop,41,3.527369891499821,35541.23529214139,0.3148447368083028
GODFRYPHLP,trend_lowbeta,2025-01-03,2025-01-13,1675.7866971489889,1416.7618414579847,1416.7618414579847,39,65355.681188810566,163.38920297202642,stop,6,-1.0,-10265.358574921189,-0.15706910842631847
TARIL,trend_lowbeta,2024-11-21,2025-01-14,454.48648027547745,390.9557427656282,509.7885581443695,158,71808.86388352544,179.5221597088136,stop,37,0.8704775048506013,8558.206143576133,0.11918035853425579
GVT&D,trend_lowbeta,2024-10-29,2025-01-21,1687.7226556045996,1441.5785011313737,1811.7200822479858,41,69196.62887978858,172.99157219947145,stop,57,0.5037593799810264,4910.902920179365,0.07097026256453622
POLICYBZR,trend_lowbeta,2025-01-10,2025-01-21,1784.800048828125,1642.7806827549512,1642.7806827549512,72,128505.603515625,321.26400878906253,stop,7,-1.0,-10546.65836605758,-0.08207158347593155
