date,model,symbol,regime,score,entry,stop,target,exit,exit_reason,hold_days,ret,r_multiple,exit_date,cost_pct
2026-03-06,control_naive_low,MAPMYINDIA,neutral,-1.0077683201376166,993.0852944611278,930.9099471501876,1117.4359890830083,930.9099471501876,stop,5,-0.06510826502790784,-1.0,2026-03-13,0.0025
2026-03-06,control_naive_low,INDGN,neutral,-1.0079016593511763,452.5131645065207,433.69477001641565,490.1499534867308,433.69477001641565,stop,5,-0.04408640226661048,-1.0,2026-03-13,0.0025
2026-03-06,control_naive_low,SBICARD,neutral,-1.0087071733774586,712.5038471964945,688.9308236355348,759.6498943184138,688.9308236355348,stop,6,-0.03558476670506833,-1.0,2026-03-16,0.0025
2026-03-06,control_naive_low,IRCTC,neutral,-1.0097725371570807,542.0,525.0357236704565,575.928552659087,525.0357236704565,stop,4,-0.03379940282203603,-1.0,2026-03-12,0.0025
2026-03-06,control_naive_low,ATGL,neutral,-1.011844861349927,480.8320657243894,462.5775968768288,517.3410034195106,517.3410034195106,target,3,0.07342866677915766,2.0,2026-03-11,0.0025
2026-03-13,momentum,NTPC,neutral,0.8053782571540716,380.3908568408736,366.1153732426931,408.94182403723454,366.1153732426931,stop,6,-0.04002846142711641,-1.0,2026-03-23,0.0025
2026-03-13,momentum,ABB,neutral,0.8040842033401197,6299.76781119331,6000.365301828859,6898.572829922213,6000.365301828859,stop,6,-0.0500259594222629,-1.0,2026-03-23,0.0025
2026-03-13,momentum,GESHIP,neutral,0.8032031637480563,1424.7848904082546,1357.156665942771,1560.0413393392216,1357.156665942771,stop,1,-0.04996556825578452,-1.0,2026-03-16,0.0025
2026-03-13,momentum,AJANTPHARM,neutral,0.7794750624839494,2992.585374835723,2863.331002082614,3251.0941203419416,2863.331002082614,stop,5,-0.0456915406123391,-1.0,2026-03-20,0.0025
2026-03-13,momentum,COALINDIA,neutral,0.7665261829246509,455.083645150105,436.2803424491434,492.69025055202815,436.2803424491434,stop,7,-0.04381834422386127,-1.0,2026-03-24,0.0025
2026-03-13,momentum,KIRLOSENG,neutral,0.7494498518831992,1445.9429207104224,1351.9149759373347,1633.9988102565978,1351.9149759373347,stop,6,-0.067528808140566,-1.0,2026-03-23,0.0025
2026-03-13,momentum,AUROPHARMA,neutral,0.7407441664034398,1302.0,1238.478556855201,1429.0428862895978,1386.5,time,20,0.06240015360983103,1.330259449669301,2026-04-16,0.0025
