symbol,model,date,exit_date,entry,stop,exit,qty,value,cost,exit_reason,hold_days,r_multiple,pnl,pct
KAYNES,momentum,2024-12-12,2024-12-17,6584.75,6246.166560210046,7261.916879579909,30,197542.5,493.85625,target,3,2.0,19821.15013739726,0.10033866199626541
DEEPAKFERT,momentum,2024-11-28,2024-12-18,1338.1741111608271,1233.4324903444199,1233.4324903444199,96,128464.7146714394,321.1617866785985,stop,14,-1.0,-10376.357385053694,-0.08077204243665044
TECHM,momentum,2024-12-05,2024-12-20,1702.2327132680182,1636.1163749812133,1636.1163749812133,120,204267.92559216218,510.6698139804055,stop,11,-1.0,-8444.63040839699,-0.041340951517064864
INDHOTEL,momentum,2024-12-19,2024-12-20,872.5865687769256,846.6767824239562,846.6767824239562,234,204185.25709380058,510.46314273450145,stop,1,-1.0,-6573.353149329336,-0.03219308407908023
SYRMA,reversal,2024-11-28,2024-12-27,581.2284556753795,486.853520796999,594.5401611328125,106,61610.21630159022,154.02554075397555,time,20,0.1410512809845924,1257.0152377339277,0.02040270775192008
ACUTAAS,momentum,2024-11-28,2024-12-27,1052.927930806903,974.0227265853214,1127.5518798828125,127,133721.84721247668,334.3046180311917,time,20,0.9457417899375857,9142.936914609305,0.06837279850076913
ACUTAAS,momentum,2024-12-27,2024-12-30,1133.2211796604436,1053.973469858539,1053.973469858539,128,145052.31099653678,362.630777491342,stop,1,-1.0,-10506.337632135137,-0.07243137017228207
TARIL,momentum,2024-12-27,2025-01-03,545.5986906870365,504.86006308149456,627.0759458981205,250,136399.67267175912,340.9991816793978,target,5,2.0,20028.31462109159,0.146835503552043
OBEROIRLTY,momentum,2024-12-19,2025-01-10,2285.764478826306,2163.94972504812,2163.94972504812,84,192004.2162214097,480.01054055352427,stop,15,-1.0,-10712.449857921154,-0.05579278449577425
MANKIND,momentum,2024-12-19,2025-01-10,2906.654147594281,2743.693110098595,2743.693110098595,62,180212.55715084542,450.53139287711355,stop,15,-1.0,-10554.115717609646,-0.058564818592388164
LAURUSLABS,momentum,2025-01-03,2025-01-10,613.3437864490476,586.8926117655236,586.8926117655236,335,205470.16846043093,513.6754211510773,stop,5,-1.0,-9374.818940131605,-0.045626180240062396
SYRMA,reversal,2024-12-27,2025-01-13,597.2822807032718,535.2145233550465,535.2145233550465,164,97954.29403533657,244.88573508834142,stop,11,-1.0,-10423.997940197292,-0.10641695744789792
KIMS,momentum,2025-01-10,2025-01-13,657.0,619.3842437277275,619.3842437277275,265,174105.0,435.2625,stop,1,-1.0,-10403.437912152214,-0.059753814721875964
ANANTRAJ,momentum,2025-01-10,2025-01-13,876.6027275862206,828.307081956535,828.307081956535,206,180580.16188276143,451.45040470690356,stop,1,-1.0,-10400.353404422143,-0.05759410832278683
