date,model,symbol,regime,score,entry,stop,final_stop,target,exit,exit_reason,hold_days,ret,r_multiple,exit_date,cost_pct,has_target
2009-01-02,trend_lowbeta,GLENMARK,bear,0.877463930095509,279.7114640582297,226.80592629784263,226.80592629784263,,226.80592629784263,stop,5,-0.19164325853077407,-1.0,2009-01-12,0.0025,False
2009-01-02,trend_lowbeta,ONGC,bear,0.8666937614306035,53.685605609711,45.38467510588811,58.39568855034296,,69.50128173828125,time,60,0.29209807613140554,1.9052895481159058,2009-04-06,0.0025,False
2009-01-02,trend_lowbeta,MARUTI,bear,0.857574679943101,504.5162774963099,401.2730151751403,593.9758125537902,,696.4226684570312,time,60,0.3778770056995337,1.8587788359858108,2009-04-06,0.0025,False
2009-01-02,trend_lowbeta,TCS,bear,0.8404033732981102,84.42074245876736,70.00435380706898,78.73973485626377,,98.05158233642578,time,60,0.15896316036388763,0.9455100168968168,2009-04-06,0.0025,False
2009-01-02,trend_lowbeta,TATACOMM,bear,0.7914295874822191,244.47766496514512,206.6502803264085,211.25077941986254,,211.25077941986254,stop,12,-0.1384096977223654,-0.8783817824734582,2009-01-21,0.0025,False
2009-01-02,trend_lowbeta,BHEL,bear,0.7625228612070717,153.2310873423663,130.55462225617077,139.76451131977188,,165.36788940429688,time,60,0.07670587311903082,0.5352157849910636,2009-04-06,0.0025,False
2009-01-02,trend_lowbeta,SBIN,bear,0.7487553342816501,107.73773411565726,92.22665983929845,92.22665983929845,,92.22665983929845,stop,5,-0.146470674747137,-1.0,2009-01-12,0.0025,False
2009-01-02,trend_lowbeta,TATAPOWER,bear,0.7453007518796992,59.29038444435385,51.086528633710685,52.692250621862925,,52.692250621862925,stop,14,-0.11378505716948945,-0.8042722805940741,2009-01-23,0.0025,False
2009-01-02,trend_lowbeta,UNITDSPR,bear,0.7080877870351554,180.71649705566477,142.59170673164508,142.59170673164508,,142.59170673164508,stop,9,-0.21346463767929497,-1.0,2009-01-16,0.0025,False
2009-01-02,trend_lowbeta,ACC,bear,0.7008230034545824,381.64554777656093,312.9784345287792,378.41859984419705,,452.5676574707031,time,60,0.18333240419632618,1.0328395404976967,2009-04-06,0.0025,False
2009-01-12,trend_lowbeta,BHARTIARTL,bear,1.0062085854220686,253.6482440263958,215.49105212069938,224.6418095168307,,273.181640625,time,60,0.07450978445004125,0.5119191330137717,2009-04-16,0.0025,False
2009-01-12,trend_lowbeta,PNB,bear,0.9640017286084702,69.59649786189632,60.58454628133121,60.58454628133121,,60.18505300396785,stop,3,-0.1377287133269846,-1.0443292747183517,2009-01-15,0.0025,False
2009-01-12,trend_lowbeta,GLENMARK,bear,0.7850043215211755,218.28837035585826,160.34149827976734,170.9642944910883,,170.9642944910883,stop,11,-0.21929613892220307,-0.8166804206899724,2009-01-28,0.0025,False
2009-01-12,trend_lowbeta,SBIN,bear,0.7834053586862576,91.10761498525063,76.99320773971104,76.99320773971104,,76.99320773971104,stop,35,-0.15742017047998208,-1.0,2009-03-04,0.0025,False
2009-01-19,momentum,HEROMOTOCO,bear,0.6717719387088641,468.50156847516627,445.448905853124,445.448905853124,514.6068937192508,514.6068937192508,target,15,0.09591018333010853,2.0000000000000027,2009-02-10,0.0025,True
2009-01-19,trend_lowbeta,PNB,bear,0.9821525573948595,67.7081888519765,57.06110155281281,57.06110155281281,,56.46110585223994,stop,8,-0.1686111187647466,-1.056353036630027,2009-01-30,0.0025,False
2009-01-19,trend_lowbeta,BANKINDIA,bear,0.9590302198587644,181.0343221859572,154.98482240616553,154.98482240616553,,154.98482240616553,stop,21,-0.14639260260291304,-1.0,2009-02-18,0.0025,False
2009-01-19,trend_lowbeta,UNITDSPR,bear,0.7702132830145525,136.52761400199523,104.94195028345082,104.94195028345082,,104.94195028345082,stop,3,-0.23385000160541008,-1.0,2009-01-22,0.0025,False
