symbol,model,date,exit_date,entry,stop,exit,qty,value,cost,exit_reason,hold_days,r_multiple,pnl,pct
TMPV,trend_lowbeta,2011-05-27,2011-06-14,200.9439099888261,180.76325600327016,180.76325600327016,642,129005.99021282636,322.51497553206593,stop,11,-1.0,-13278.494834258985,-0.1029292888830427
TITAN,trend_lowbeta,2011-06-13,2011-06-16,218.84029213186398,204.4331115824876,204.4331115824876,927,202864.9508062379,507.16237701559476,stop,3,-1.0,-13862.618746287484,-0.06833422279794436
TCS,trend_lowbeta,2011-05-06,2011-06-20,405.15585665502743,374.6287378292345,380.2640952656158,414,167734.52465518136,419.33631163795343,stop,30,-0.8153983194896243,-10724.52552685436,-0.06393749616485456
TITAN,trend_lowbeta,2011-06-20,2011-06-22,214.94235263363308,197.20373098124907,197.20373098124907,731,157122.8597751858,392.8071494379645,stop,2,-1.0,-13359.739577330676,-0.08502734482077294
BAJAJFINSV,trend_lowbeta,2011-04-05,2011-07-04,51.13904380034903,44.37015810822251,50.15721130371094,1844,94300.3967678436,235.75099191960902,time,60,-0.14505083130302326,-2046.2501157202496,-0.021699273660087292
CANBK,trend_lowbeta,2011-05-20,2011-08-01,73.98312418153428,65.42528809187026,65.51075519629414,1475,109125.10816776306,272.8127704194076,stop,49,-0.9900130005379386,-12769.557023648611,-0.11701758869294665
ITC,trend_lowbeta,2011-05-06,2011-08-02,72.74077778215997,68.13881666762973,82.93130493164062,2751,200109.87967872206,500.27469919680516,time,60,2.21438793068135,27533.865489024487,0.1375937336688739
BAJAJ-AUTO,trend_lowbeta,2011-05-06,2011-08-02,890.3871792545846,807.8914708264575,1022.830078125,153,136229.23842595145,340.57309606487865,time,60,1.6054519852484692,19923.19043110868,0.14624753585433936
HCLTECH,trend_lowbeta,2011-06-20,2011-08-03,79.52244566125403,73.12798575207634,79.56691809001624,2030,161430.56469234568,403.5764117308642,stop,31,0.006954837373894557,-313.2973813435589,-0.0019407562746289154
BATAINDIA,trend_lowbeta,2011-06-27,2011-08-03,231.0910920727391,208.49543927149162,239.83808954955472,568,131259.7402973158,328.14935074328946,stop,26,0.3871097486651383,4640.145216087992,0.0353508639098144
TCS,trend_lowbeta,2011-06-20,2011-08-04,381.3193804420142,353.48226584206924,388.0631238390532,466,177694.83128597864,444.2370782149466,stop,32,0.2422572703369309,2698.3473448052264,0.015185288875749898
WOCKPHARMA,trend_lowbeta,2011-08-02,2011-08-04,392.0305204950106,352.7163448739191,352.7163448739191,335,131330.22436582856,328.3255609145714,stop,2,-1.0,-13498.574393980212,-0.10278345642948944
JUBLFOOD,trend_lowbeta,2011-05-13,2011-08-05,68.4798984361326,57.94113060830329,75.3862737908034,1210,82860.67710772045,207.15169276930112,stop,58,0.655330439715486,8149.562486382367,0.09835259342363063
INDUSINDBK,trend_lowbeta,2011-08-02,2011-08-05,248.18906131895827,231.77607319048974,231.77607319048974,802,199047.62717780453,497.61906794451136,stop,3,-1.0,-13660.83554697627,-0.06863098917915444
SUNPHARMA,trend_lowbeta,2011-05-13,2011-08-09,191.87081503167883,177.46339071711827,214.2594726129293,885,169805.67130303578,424.51417825758944,stop,60,1.5539666974772062,19389.447781149076,0.11418610245677013
JUBLFOOD,trend_lowbeta,2011-08-09,2011-09-12,75.87262078981826,64.22204179866458,83.86051824713431,1137,86267.16983802336,215.6679245950584,stop,21,0.6856223594879951,8866.571484373293,0.10278036825621278
ASIANPAINT,trend_lowbeta,2011-08-02,2011-09-16,264.1527230517739,252.44065346809876,267.88825274596326,997,263360.26488261856,658.4006622065464,stop,30,0.31894702020863624,3065.922442900267,0.01164155285257922
BATAINDIA,trend_lowbeta,2011-08-09,2011-09-26,274.3567018734653,247.5527326651673,274.92534550662486,494,135532.21072549184,338.8305268137296,stop,31,0.021214903984576303,-57.92057203289636,-0.0004273565060501316
HINDUNILVR,trend_lowbeta,2011-08-09,2011-09-26,242.49230518968656,229.096814330219,248.5749962390644,989,239824.88983260002,599.5622245815001,stop,31,0.45408496882954913,5416.219223253186,0.022584058005963255
SIEMENS,trend_lowbeta,2011-08-09,2011-09-28,432.01044044907366,401.4495106927346,401.4495106927346,433,187060.52071444888,467.6513017861222,stop,33,-1.0,-13700.533886280942,-0.07324118330235509
